record,High quality graphics,Easy to pick up and play ,A community of players,Gameplay that gets progressively harder,Ability to upgrade and improve my character over time,Different difficulty levels,Realistic characters and settings,Compelling story,Characters I care about,Requires skill to make progress,Fast-paced gameplay,Diverse characters,Gameplay that requires problem-solving and strategic thinking,Gameplay that requires teamwork,Family-friendliness ,Offers a variety of different ways to play,Variety of skill/character upgrades ,Lots of character customization options,Ability to get matched with/play with players at the same skill level,An immersive world  ,Fun for all experience levels,Unique gameplay mechanics I can’t find in other games ,Ability to play with family and friends in person,Ability to play with family and friends online,Ability to play with strangers online  ,Has endless replayability ,Has multiple different game modes to play,Makes me feel like I’m connected to my family and friends,Makes me feel like I’m hanging out with my family/friends even when we’re not together in person 
3330,2,2,2,3,3,1,3,3,3,2,2,3,3,2,2,1,3,2,4,3,1,3,1,2,3,1,2,1,2
3334,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,3,2
3341,2,2,3,1,2,1,3,2,3,2,2,2,1,1,1,2,2,2,3,3,1,1,1,3,4,1,1,3,3
3342,2,1,3,3,3,2,3,3,2,2,2,3,2,2,1,2,3,3,3,2,1,2,1,2,3,1,2,1,1
3344,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2
3345,2,1,2,2,1,2,2,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2
3346,1,1,3,1,2,2,2,2,2,2,2,1,1,3,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1
3350,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,3,2,2,1,2,2,2,1,2,1,2
3354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
3357,3,1,3,3,2,2,3,2,2,1,1,2,2,2,1,2,3,3,1,2,1,2,1,1,2,1,2,1,1
3362,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3365,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,1
3369,1,1,1,1,1,1,1,4,3,1,1,2,1,3,3,1,1,1,1,3,1,2,1,1,2,1,2,4,1
3371,1,1,2,2,1,2,2,2,1,1,1,1,3,3,1,1,2,3,2,2,1,3,2,1,1,2,3,1,1
3372,1,1,4,4,2,3,1,4,2,2,3,3,3,3,1,2,2,4,2,3,2,4,2,1,1,2,2,2,4
3375,3,1,3,3,2,2,3,3,2,2,3,2,2,2,1,1,2,3,2,2,1,3,1,1,3,1,2,1,1
3381,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1
3386,1,2,2,2,1,2,1,2,1,3,3,1,2,2,4,1,1,1,2,1,1,1,1,1,2,1,2,1,1
3390,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,2,3,3
3393,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3394,1,1,3,1,3,1,2,1,2,2,1,2,3,3,2,2,4,2,1,3,1,2,1,1,3,1,2,1,1
3401,1,2,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2
3408,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1
3412,1,1,2,2,3,2,3,1,1,2,2,1,1,1,1,1,2,3,1,1,1,2,1,2,2,1,1,1,1
3421,1,1,2,3,2,1,3,3,2,3,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1
3426,1,1,4,4,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1
3428,1,1,2,3,1,2,2,3,3,2,1,1,2,2,1,1,1,1,1,3,1,2,1,2,2,1,2,2,3
3431,1,3,2,3,2,3,1,2,3,3,1,1,2,2,3,1,2,3,2,1,2,2,1,1,2,2,1,1,2
3436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3439,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1
3456,3,1,1,4,4,2,4,4,3,4,2,2,3,2,1,2,4,3,2,3,1,2,1,2,4,1,2,1,3
3460,2,1,2,3,2,1,2,2,2,2,3,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2
3468,3,1,2,3,2,2,3,3,2,2,2,2,3,2,1,1,2,3,1,1,1,2,1,2,2,1,1,1,2
3472,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2
3475,2,3,1,2,3,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,3,2,3,1,2,1,2,2,2
3477,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3481,2,2,2,2,3,1,2,1,2,2,2,1,1,1,1,1,3,2,2,1,1,1,1,1,2,2,2,1,1
3488,1,1,3,3,3,3,3,2,3,2,2,4,2,2,2,1,4,4,2,3,1,3,1,2,3,1,2,1,1
3492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3503,2,1,1,2,2,2,3,3,1,1,2,2,1,1,2,1,2,2,3,2,1,1,1,1,2,1,1,1,1
3510,2,1,2,2,2,1,4,3,3,2,1,2,1,3,1,3,2,3,2,2,1,2,3,1,2,1,2,2,1
3519,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3527,1,2,1,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,2,2,3,2,2,1,2,2,1,1,1
3528,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3529,2,1,1,3,2,2,3,3,2,2,3,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1
3531,2,2,3,3,3,2,4,2,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,2,4,2,1,2,2
3534,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
3537,1,1,1,2,1,1,1,2,3,2,1,1,3,3,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1
3549,2,2,3,3,2,4,3,4,3,3,3,3,3,3,4,2,3,3,4,2,4,3,4,3,4,3,3,3,3
3550,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3551,2,1,2,3,2,2,3,2,1,2,3,2,3,3,1,2,2,2,2,2,1,2,1,1,3,1,1,2,1
3552,4,1,2,3,2,2,4,4,4,3,2,2,3,2,2,2,2,4,1,3,1,2,1,1,2,1,2,2,1
3553,1,1,4,2,1,1,2,4,4,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2
3555,2,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2
3558,1,3,2,2,1,1,1,1,2,2,2,3,1,2,1,2,1,1,1,1,3,1,3,1,1,1,1,2,2
3559,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,3,1,1,1,2
3562,3,1,3,3,3,2,3,4,2,2,2,3,1,2,2,2,3,3,2,3,1,3,1,1,2,1,1,3,1
3564,3,2,3,3,2,3,3,3,2,2,3,3,2,3,2,3,3,2,2,2,2,3,3,3,2,3,2,2,3
3571,2,1,3,3,4,2,3,4,2,3,1,2,3,2,2,3,3,2,2,3,1,3,1,2,2,1,3,2,2
3579,2,2,2,3,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,1,2
3581,2,2,3,3,2,2,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,3,4,2,2,2,2
3587,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3588,1,1,2,2,1,1,1,2,1,1,1,1,1,1,3,3,2,1,2,3,1,1,2,1,1,1,2,1,1
3590,2,3,4,3,2,3,4,2,3,3,2,2,2,4,3,1,4,3,4,2,3,3,3,4,3,4,3,3,3
3591,2,2,2,2,2,2,3,2,2,1,3,1,1,2,2,2,2,2,1,1,1,3,1,1,2,1,1,1,2
3593,3,1,2,3,2,1,1,1,2,4,2,2,3,2,2,1,3,4,3,2,1,3,2,1,4,1,1,1,2
3597,3,3,3,2,2,3,2,2,3,3,2,2,1,4,2,3,2,3,2,3,1,2,1,2,3,3,1,3,2
3598,2,1,3,2,2,3,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2
3608,2,1,3,2,1,1,3,2,1,2,2,2,3,3,3,1,2,1,3,1,2,3,2,2,2,2,2,3,2
3612,1,1,1,2,1,1,3,3,3,2,1,3,4,1,4,1,2,1,1,1,1,2,2,1,1,2,1,1,2
3623,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1
3626,2,2,2,1,2,1,3,3,2,1,3,3,3,3,1,3,2,3,2,1,2,1,2,3,2,3,1,2,2
3629,1,1,4,1,1,1,4,2,3,2,2,3,1,4,1,1,2,3,2,2,1,2,1,1,3,1,2,2,2
3630,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,3,3,2,1,2,1,2,2
3635,2,2,2,2,3,3,3,1,3,2,3,3,3,3,3,2,3,3,3,2,3,3,1,1,4,4,3,2,3
3637,2,1,3,2,2,1,3,2,3,2,2,3,2,1,1,1,2,1,3,2,1,2,1,2,3,1,1,2,2
3642,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2
3645,3,1,1,2,1,1,4,2,3,2,3,3,1,1,2,2,2,1,1,4,1,2,1,1,2,1,1,1,1
3648,1,2,3,3,1,2,1,2,2,2,2,2,2,3,3,1,2,2,2,1,1,2,2,2,3,1,2,2,3
3651,2,1,1,1,1,2,2,4,2,1,1,3,1,2,1,1,1,3,3,2,3,2,2,2,1,2,2,1,1
3659,1,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,1,2,2,3,1,1,2
3660,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3662,1,2,2,1,1,1,1,3,2,1,2,2,2,1,4,1,1,1,2,3,1,1,1,1,2,1,1,1,1
3664,2,1,3,4,3,2,3,4,2,2,2,3,2,1,2,1,3,2,2,2,1,2,1,1,4,1,1,1,1
3673,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,2
3674,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1
3679,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,3,3,2,2,2,2
3687,3,2,2,3,2,3,1,2,1,2,2,1,2,1,2,1,2,3,2,3,1,3,2,1,2,3,1,2,1
3702,3,1,3,3,4,2,4,4,3,2,1,3,2,1,1,1,4,2,2,3,1,3,1,1,3,1,1,1,1
3706,1,1,2,1,1,1,2,1,2,2,3,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,3
3712,1,1,3,1,2,2,3,1,3,2,2,1,1,1,1,1,3,3,2,2,1,2,2,2,3,3,1,3,2
3721,2,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,3,2,2,1,1
3727,2,1,2,2,3,3,2,2,2,2,1,1,2,2,2,3,2,3,2,2,2,3,1,1,2,3,2,2,2
3728,2,1,2,3,2,2,3,1,3,2,2,3,2,3,1,2,3,2,1,1,1,3,2,2,3,1,1,3,2
3733,3,1,2,4,3,1,3,2,3,3,1,3,2,2,2,3,4,3,2,3,1,3,1,2,4,1,3,1,1
3734,1,2,1,1,2,1,2,2,4,1,1,2,1,1,3,1,2,4,2,1,1,1,1,1,3,1,1,1,1
3742,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3744,1,1,1,1,1,1,4,1,3,1,4,2,3,2,2,1,1,2,2,2,1,1,2,1,3,2,1,2,2
3750,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1
3754,1,1,4,1,1,1,2,1,2,1,2,1,2,3,4,1,1,1,4,1,3,1,4,4,4,2,3,4,3
3757,1,2,2,2,2,1,1,3,1,3,1,1,1,1,2,3,2,1,3,1,2,1,1,2,3,1,2,2,1
3760,2,1,2,3,1,1,2,2,1,4,1,1,2,4,1,1,1,1,1,3,1,2,2,2,1,1,1,2,3
3764,2,1,1,3,4,2,4,4,2,2,2,2,3,2,1,1,3,3,2,4,2,3,1,2,3,1,1,1,2
3766,1,1,2,4,4,3,4,4,4,4,3,2,4,2,1,3,4,2,3,4,1,3,1,1,1,1,3,1,2
3771,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3777,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3783,1,1,4,1,2,2,1,2,2,1,1,4,2,4,4,2,2,2,2,2,2,2,1,2,1,2,3,4,2
3791,2,1,1,1,3,1,4,4,4,1,1,4,2,2,2,1,3,2,1,4,1,1,1,1,1,1,1,2,1
3795,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,3,1,2,1,2,1,1,3,2,3,3,2,1,1
3802,4,1,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4
3809,1,1,2,3,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,1,3,1,1,2,2
3811,1,1,3,2,3,2,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2
3815,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3827,2,1,1,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1
3830,2,1,3,3,2,2,3,2,2,2,2,1,3,3,1,2,2,1,1,2,1,2,3,1,3,2,1,2,1
3832,4,1,2,2,1,1,2,1,1,3,3,2,2,2,4,1,2,3,1,2,1,3,1,1,3,1,2,2,1
3838,3,2,3,2,3,2,4,4,3,2,2,1,2,2,4,2,3,2,3,3,1,2,1,3,3,1,2,1,2
3843,2,1,1,3,2,1,4,3,2,3,2,2,2,1,1,2,1,3,1,3,1,4,1,1,3,1,1,1,1
3844,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,3,3,3,3
3856,1,1,1,2,1,1,2,1,3,3,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1
3859,3,1,2,2,2,2,2,2,2,3,1,1,1,1,3,1,3,3,2,2,1,1,2,1,2,1,1,1,1
3863,2,1,2,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
3876,3,1,2,3,2,1,3,2,3,3,2,2,2,1,2,2,3,3,2,3,2,3,1,1,2,1,1,1,1
3879,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2
3884,3,2,2,2,2,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,1,1,2,1,2,2
3889,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2
3891,2,1,2,2,2,2,3,2,2,2,3,2,2,3,1,2,3,4,1,4,1,2,1,1,2,1,2,1,2
3892,2,2,3,3,3,2,3,4,3,2,2,2,2,2,2,2,3,4,2,3,2,3,2,4,4,2,2,3,4
3894,1,2,2,1,4,1,2,1,3,2,1,2,1,1,2,1,3,1,2,1,1,3,2,2,2,3,3,4,2
3902,3,2,3,1,2,2,3,3,4,2,2,2,3,3,2,2,3,3,1,3,1,3,1,2,2,1,2,2,2
3906,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3911,1,1,1,1,1,1,3,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
3912,1,3,4,1,3,1,2,1,4,2,2,2,1,1,2,1,1,3,2,3,3,2,4,3,2,2,1,1,3
3913,1,1,1,2,1,1,1,1,2,3,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1
3914,2,2,3,2,4,2,4,4,4,2,2,2,4,2,4,2,3,4,2,4,3,2,1,1,3,2,2,2,1
3925,2,1,3,2,2,2,3,3,3,3,3,2,2,1,2,1,1,1,3,2,1,2,1,2,3,1,2,2,2
3932,3,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,3,2,2,1,3,1,3,3,1,2
3936,2,1,2,1,1,2,1,1,1,1,1,1,2,1,4,2,2,2,1,1,1,2,1,1,2,1,1,2,1
3950,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1
3952,3,1,2,4,4,2,3,3,3,4,2,3,3,2,1,2,4,4,2,3,1,2,1,1,2,1,2,2,2
3954,3,1,2,3,2,2,3,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2
3961,2,1,2,2,2,1,3,2,2,1,2,2,2,2,3,1,1,2,2,2,2,2,1,1,1,2,1,1,2
3963,2,2,2,1,3,2,2,3,3,3,2,1,2,3,3,2,3,2,3,2,1,2,2,1,2,3,3,1,2
3968,2,2,3,3,1,2,4,1,3,3,3,1,2,4,2,1,3,1,2,1,1,3,4,4,4,2,2,4,4
3971,3,2,3,2,3,2,4,4,3,2,2,3,2,3,2,2,3,3,2,4,2,3,2,2,4,3,2,4,4
3974,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2
3984,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3991,1,1,1,2,2,2,2,3,4,4,3,2,3,2,4,2,1,2,2,2,1,3,1,2,3,1,1,1,1
4007,2,2,2,2,3,2,3,3,3,2,2,2,1,1,4,2,3,2,3,3,1,2,1,1,2,1,2,1,1
4012,3,3,3,3,3,3,4,4,3,3,3,2,3,3,4,3,3,3,3,3,3,3,2,2,3,4,3,3,2
4014,1,1,2,4,3,3,3,2,2,3,2,2,3,2,1,1,2,4,2,2,1,3,1,2,2,1,2,2,2
4017,1,2,2,3,1,2,3,2,2,2,2,2,1,1,4,1,1,2,1,1,2,1,3,1,1,1,1,3,1
4018,1,2,3,1,2,2,2,1,1,2,3,1,1,1,2,2,2,3,1,2,2,1,2,1,2,1,1,1,2
4019,4,1,2,4,2,2,4,4,3,3,1,3,1,1,1,1,2,2,4,3,1,1,1,1,3,2,2,1,1
4025,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
4027,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4028,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,3,2,1,1,1
4029,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2
4034,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2
4035,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4043,2,1,3,2,3,3,2,2,3,2,2,2,3,3,2,2,2,3,2,2,1,3,1,1,3,2,2,2,2
4046,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,1,2,2,1,3,1,2,1,2
4053,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2
4055,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2
4060,2,2,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1
4065,1,2,3,2,3,3,2,2,3,2,2,3,2,2,1,2,2,3,2,3,2,3,2,3,4,2,2,1,3
4073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4076,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,1,1,1
4097,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,2,1,1,2,1,2,1,1,2,2,2,1,2,3
4100,1,2,2,3,2,2,2,1,2,2,2,1,3,2,1,1,1,2,3,1,2,2,2,2,3,1,2,1,1
4101,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
4107,1,1,1,4,2,1,1,3,1,2,2,1,1,4,4,4,1,3,4,1,1,3,4,4,3,2,4,4,3
4111,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4115,2,1,4,3,1,2,2,2,2,3,3,2,2,2,1,1,2,3,3,2,1,2,1,1,2,2,1,1,1
4118,1,2,2,3,2,3,2,2,3,2,3,3,1,2,4,3,2,3,2,1,1,1,2,2,2,3,2,2,2
4122,3,2,1,4,3,1,3,2,4,2,3,2,2,1,1,1,2,1,2,1,1,4,1,1,4,2,1,1,1
4124,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2
4130,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
4135,1,1,2,3,2,3,2,2,3,2,2,2,4,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2
4144,3,1,1,2,2,1,3,3,2,2,2,2,1,1,1,1,2,2,3,3,1,1,1,1,2,1,1,2,1
4151,2,1,3,3,2,2,4,2,2,3,2,2,3,4,3,1,2,2,2,2,1,1,2,3,2,1,1,3,3
4152,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2
4167,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1
4169,1,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2
4172,3,2,4,3,3,2,3,3,4,4,3,3,2,2,1,2,4,4,4,4,2,3,2,1,4,2,3,2,2
4173,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2
4186,1,2,1,2,2,1,2,2,2,1,3,2,3,1,3,1,2,2,3,2,1,3,1,1,1,1,1,2,1
4189,1,4,3,2,3,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,4,4,4,4,3,2,2,4,4
4191,1,3,2,2,1,1,1,2,2,2,1,2,2,3,1,1,2,2,4,2,1,2,2,2,4,2,2,2,2
4198,2,1,2,2,1,1,2,4,3,2,2,2,3,3,1,2,1,2,2,3,1,2,1,1,2,2,1,1,1
4201,1,2,3,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,3,1,1,3,2
4215,2,2,2,2,2,2,4,3,2,2,3,2,3,4,2,2,2,3,1,2,2,3,2,2,2,2,2,4,2
4220,3,1,2,1,2,1,3,2,3,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1
4224,2,2,3,2,1,2,3,4,3,1,2,2,2,2,3,1,1,3,1,3,1,1,2,2,2,1,2,2,2
4229,2,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2
4236,2,2,3,3,2,2,2,4,3,2,2,3,2,2,3,1,2,2,3,2,2,3,2,2,2,2,1,2,2
4246,3,1,2,2,4,2,3,3,3,2,1,2,2,2,1,2,2,2,1,3,1,2,1,1,4,2,2,1,1
4253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4
4265,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,3,1,2,1,2
4268,1,1,1,1,2,1,2,2,1,1,1,2,2,2,3,1,2,1,2,1,1,1,1,2,1,1,1,2,2
4270,2,2,2,2,3,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2
4277,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,3,3,2,1,2,3
4279,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2
4286,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1
4287,1,1,2,3,1,2,1,2,1,3,3,1,3,3,1,1,1,1,2,1,1,2,2,1,3,1,2,1,1
4290,3,1,4,3,2,2,3,2,3,2,2,1,2,3,1,1,1,1,2,1,1,1,1,1,4,1,2,1,2
4291,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4293,1,3,2,2,2,2,1,2,3,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,3,3,2,1,1
4298,1,1,2,1,1,2,2,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1
4302,3,3,3,1,1,1,2,1,1,3,2,1,1,2,3,1,1,1,1,2,1,2,1,2,2,1,2,1,2
4306,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1
4312,1,2,2,2,2,1,3,1,1,2,1,1,2,3,2,1,1,2,3,2,1,1,1,1,3,1,2,1,1
4328,3,1,2,2,2,1,3,2,3,3,2,3,2,2,1,1,2,3,1,2,1,3,2,2,2,1,1,1,1
4332,2,1,4,3,1,1,2,2,1,1,1,2,2,1,1,2,2,1,3,1,2,1,1,2,4,1,2,2,1
4339,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1
4341,1,1,1,3,2,2,1,1,1,1,1,1,2,3,2,1,2,1,1,1,2,2,2,3,3,1,2,3,2
4344,2,3,4,2,4,3,2,1,2,4,3,1,4,4,4,3,2,2,3,1,3,4,4,4,4,3,3,4,4
