record,High quality graphics,Easy to pick up and play ,A community of players,Gameplay that gets progressively harder,Ability to upgrade and improve my character over time,Different difficulty levels,Realistic characters and settings,Compelling story,Characters I care about,Requires skill to make progress,Fast-paced gameplay,Diverse characters,Gameplay that requires problem-solving and strategic thinking,Gameplay that requires teamwork,Family-friendliness ,Offers a variety of different ways to play,Variety of skill/character upgrades ,Lots of character customization options,Ability to get matched with/play with players at the same skill level,An immersive world  ,Fun for all experience levels,Unique gameplay mechanics I can’t find in other games ,Ability to play with family and friends in person,Ability to play with family and friends online,Ability to play with strangers online  ,Has endless replayability ,Has multiple different game modes to play,Makes me feel like I’m connected to my family and friends,Makes me feel like I’m hanging out with my family/friends even when we’re not together in person 
4349,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4350,3,2,2,2,2,2,2,1,2,1,2,2,1,3,1,1,2,1,2,2,2,2,1,2,1,3,3,2,2
4354,2,2,2,1,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2
4358,2,1,2,3,4,3,4,4,3,3,1,2,3,2,2,2,4,3,3,4,1,1,1,1,1,1,1,1,2
4363,3,1,1,2,3,2,3,2,2,2,3,2,2,3,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1
4380,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4409,2,3,2,2,3,1,1,3,2,2,2,1,1,1,2,2,3,3,3,2,2,1,2,2,2,3,2,2,3
4411,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,3,4,3,2,2
4413,2,2,2,2,2,2,2,1,2,3,3,1,2,2,2,2,2,2,3,2,1,2,1,2,2,2,3,1,2
4414,2,3,1,1,1,3,2,4,2,1,4,2,2,2,4,3,1,3,3,1,4,2,2,2,1,4,1,4,3
4417,1,3,3,1,1,1,1,1,2,2,2,1,2,3,2,3,1,2,2,1,2,3,2,2,1,2,2,2,1
4418,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1
4419,1,2,2,1,1,3,2,1,1,2,3,4,1,3,4,2,1,1,2,1,1,2,4,3,3,3,2,4,4
4429,1,1,1,3,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1
4434,1,2,2,2,2,2,2,3,4,3,2,3,2,2,2,2,3,3,1,2,1,3,3,2,3,3,2,2,2
4436,2,1,3,2,3,1,3,1,2,3,2,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,2
4440,1,1,1,1,1,1,1,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1
4447,2,1,3,2,2,2,4,3,2,2,1,1,2,3,2,1,1,3,1,1,1,2,1,2,3,1,2,1,2
4452,3,1,3,3,1,3,3,2,3,3,2,3,2,1,3,2,2,1,2,3,2,2,2,1,3,1,1,2,2
4455,2,1,1,2,3,2,3,3,2,3,1,2,2,1,2,2,3,3,1,2,1,2,1,1,2,1,2,2,2
4458,2,1,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,1,2,1,2,4,1,2,1,2
4472,1,1,4,1,1,1,4,1,2,3,3,1,4,4,4,3,1,4,4,1,1,2,4,4,4,1,3,4,4
4478,3,1,3,4,3,2,3,3,4,4,3,3,3,2,1,1,3,2,3,3,1,3,2,2,3,1,1,2,2
4486,2,2,2,1,3,2,3,2,2,2,4,2,2,3,2,2,3,2,1,1,1,2,3,1,4,3,2,4,2
4489,1,2,1,2,1,1,1,1,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4491,2,1,2,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1
4535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4542,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4552,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1
4560,2,1,1,3,3,1,4,3,2,1,2,1,2,2,3,2,4,3,1,4,1,1,1,1,1,1,1,1,1
4564,1,2,2,3,2,2,2,3,3,3,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
4581,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1
4591,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4593,2,1,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,3,3,2,2,1,2,3,2
4603,2,2,2,2,3,2,3,2,2,3,3,3,3,3,3,2,3,2,2,2,3,2,1,3,3,1,2,2,3
4606,2,1,2,2,2,1,3,4,1,1,1,1,2,1,1,2,1,1,1,3,1,2,1,1,2,1,1,1,1
4607,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4616,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,3,1,1,2,1
4625,2,1,1,2,1,1,2,2,1,1,2,3,2,3,3,1,1,1,3,1,2,1,3,3,2,1,1,3,2
4649,1,1,1,3,2,2,4,3,3,3,3,2,3,1,2,1,3,3,1,4,1,3,1,1,3,1,2,3,1
4651,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1
4654,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1
4655,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1
4661,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2
4664,2,2,3,2,1,1,1,1,1,2,3,1,2,4,4,1,1,1,2,1,1,2,3,2,3,2,1,3,3
4668,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
4680,2,2,2,3,3,2,2,2,3,3,2,3,1,2,2,2,2,2,2,2,2,1,2,3,2,1,1,2,2
4683,2,3,1,2,3,2,2,2,2,2,2,2,2,1,2,3,2,3,3,2,2,2,2,2,3,2,3,1,2
4694,3,2,3,1,1,1,1,1,2,1,3,1,2,2,2,1,1,2,3,1,2,2,1,1,2,3,2,2,2
4714,3,3,4,2,4,3,4,4,2,2,2,3,4,3,3,2,3,4,3,4,2,4,2,3,4,1,2,3,4
4732,2,1,2,2,3,2,4,4,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,1,1,1,1,2,2
4738,1,2,4,3,2,2,2,1,2,2,3,3,4,4,4,4,2,3,4,1,4,3,4,4,4,4,4,4,4
4739,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4741,1,1,4,3,2,3,1,1,1,3,3,3,2,4,2,2,2,2,3,1,1,2,2,3,4,2,3,3,3
4744,4,2,4,3,3,3,3,3,4,4,3,4,4,4,2,3,3,3,4,4,3,4,4,3,3,1,3,3,4
4747,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
4761,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,2,2,3,2,2,3,2
4772,1,2,1,1,2,1,2,3,4,1,1,4,1,2,4,1,2,4,1,2,1,2,1,1,1,2,1,1,1
4792,2,2,2,2,2,2,3,1,2,2,2,3,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2
4804,2,1,2,4,3,3,2,2,1,2,1,2,2,2,1,1,2,2,3,1,1,2,1,1,2,1,1,1,1
4828,1,2,2,2,2,2,1,2,2,2,2,4,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2
4846,1,1,3,3,3,2,3,4,4,2,3,4,2,4,3,3,4,4,2,2,1,2,2,1,3,1,2,3,4
4850,2,1,3,2,3,1,1,3,1,2,2,2,2,1,1,2,2,3,1,2,1,2,1,1,2,1,2,1,1
4854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4857,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4862,1,2,3,2,3,2,2,2,2,1,2,2,2,3,3,2,3,3,2,2,2,2,2,3,2,2,2,3,3
4863,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,2,4,1,4,4,1,2,4,4
4872,1,1,3,3,1,4,1,1,1,2,2,1,3,3,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1
4883,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4886,3,1,2,2,2,2,3,3,3,2,1,3,1,2,1,2,3,3,1,3,1,2,1,1,2,1,3,1,1
4893,1,1,2,3,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
4902,2,3,4,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,3,2,2,3,4,4,2,2,2,3,2
4903,1,1,3,2,1,1,1,1,1,2,3,1,2,3,2,2,1,1,3,1,1,1,2,3,3,2,2,2,3
4905,1,1,3,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4908,1,1,2,4,1,4,1,2,1,4,4,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1
4941,2,2,2,2,2,2,3,2,3,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
4942,2,3,1,2,2,1,3,1,2,2,2,1,2,1,2,2,2,2,1,3,2,1,1,2,2,2,2,1,1
4949,2,1,1,2,3,2,3,3,1,2,1,2,1,1,1,2,3,2,1,1,1,1,2,1,1,1,1,2,1
4964,2,1,2,1,1,2,2,1,1,1,1,1,2,1,3,2,3,2,1,2,1,1,3,2,2,2,2,1,1
4966,1,2,2,2,3,2,3,2,1,1,1,2,3,2,3,3,2,1,2,3,3,2,2,2,3,1,2,2,2
4971,1,2,1,1,1,2,3,1,1,1,3,1,1,2,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1
4972,4,1,4,2,2,3,4,4,3,2,2,4,1,1,3,1,2,2,1,4,1,1,1,1,4,1,1,1,1
4976,2,2,2,3,3,3,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3
4978,1,1,1,2,3,1,4,4,2,3,1,1,2,3,1,1,2,1,1,2,1,3,1,1,3,1,1,1,1
4987,2,1,2,4,1,2,4,4,1,3,1,2,3,3,1,2,1,2,2,2,1,2,1,1,4,1,2,1,1
4988,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1
4995,2,3,2,2,2,3,3,4,3,3,3,2,2,2,2,2,3,3,2,2,3,3,3,3,2,3,2,2,3
5002,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,2,1,3,1,1,1,2,1,2,1
5011,1,1,2,2,2,2,2,2,2,2,3,2,2,3,1,2,2,2,2,2,1,3,1,1,4,2,2,1,1
5016,3,3,1,2,2,2,2,1,1,2,3,2,2,2,3,1,1,3,1,1,1,2,2,1,3,1,1,3,1
5033,2,2,3,3,3,2,4,2,4,2,2,3,2,2,2,2,3,3,2,3,1,2,1,2,3,2,2,1,2
5036,2,2,3,3,2,2,3,3,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2
5052,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,3,2,1,1,1,1,2,2
5060,1,1,1,2,2,3,1,2,2,2,1,3,2,2,1,2,3,2,1,1,1,2,1,1,2,3,3,1,1
5068,2,1,2,1,2,2,4,3,3,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1
5087,3,1,2,3,1,2,4,1,4,3,3,4,3,1,3,2,3,2,2,3,1,2,1,1,2,1,1,2,2
5104,1,2,2,3,1,2,2,3,4,2,2,3,2,3,2,1,2,2,2,4,2,2,2,1,2,2,2,2,1
5110,2,2,3,4,1,2,3,2,2,1,2,2,2,3,4,2,2,1,2,2,2,2,4,2,3,2,2,3,3
5112,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
5114,2,3,2,2,3,2,1,3,2,3,3,2,2,2,2,2,1,2,1,2,2,2,2,2,1,4,2,3,1
5120,1,1,2,2,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,1
5126,1,1,3,2,1,1,1,2,1,1,1,1,2,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1
5131,3,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,2,4,2,4,2,3,3,2
5138,2,2,3,2,2,2,2,2,2,2,3,2,2,4,4,2,2,3,3,3,2,3,4,4,4,2,3,4,4
5140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5154,1,1,3,2,1,1,1,1,3,3,2,1,2,4,2,1,1,1,1,1,1,1,4,3,2,1,1,4,3
5157,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4
5165,2,1,2,2,2,2,2,4,2,3,2,2,3,2,2,2,3,3,4,2,1,2,1,1,3,1,1,1,1
5189,2,1,3,2,2,1,3,2,3,1,1,3,2,3,4,2,2,3,3,3,2,2,4,4,4,1,2,4,4
5198,4,2,4,3,3,3,4,2,2,2,3,4,2,3,4,3,4,4,4,2,2,4,2,4,4,3,3,4,4
5203,1,1,4,3,4,3,2,2,3,4,4,2,3,4,2,2,2,2,2,4,1,4,2,2,4,2,4,3,2
5211,1,3,3,3,3,2,3,2,4,2,2,2,2,3,3,4,3,2,3,3,2,2,3,3,4,3,2,4,3
5213,2,1,1,3,3,2,3,3,2,2,2,1,2,1,1,1,2,1,1,3,1,3,1,1,1,2,1,1,1
5214,2,2,2,3,3,2,3,3,3,2,3,2,2,3,2,1,3,3,2,3,2,4,1,1,1,2,2,1,2
5220,1,1,1,3,3,2,1,1,2,2,2,3,2,1,1,1,1,2,3,3,1,2,2,2,1,3,2,1,2
5227,2,1,2,2,3,2,3,3,3,3,1,2,3,1,2,2,3,4,2,3,1,3,1,2,2,1,2,1,2
5233,4,3,4,4,3,4,4,3,4,4,4,3,4,3,4,3,3,4,3,4,3,4,4,4,3,4,4,4,3
5253,3,3,2,3,3,2,2,2,2,2,3,3,2,2,3,2,2,3,3,2,2,2,3,3,2,3,3,2,3
5254,1,2,2,2,2,2,1,1,1,1,2,1,2,3,3,2,2,1,2,1,2,2,3,3,3,2,2,2,3
5259,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2
5264,2,2,2,1,2,1,2,2,2,1,2,2,2,2,3,2,2,1,2,1,2,1,3,2,1,2,2,3,2
5270,3,1,2,2,2,1,3,3,3,2,2,4,3,2,2,2,3,3,2,3,1,2,2,3,2,1,2,2,2
5276,1,1,2,3,2,1,4,3,1,1,1,2,3,1,1,3,2,3,4,2,2,2,1,2,2,1,1,1,1
5289,3,2,1,2,3,2,4,4,2,3,3,3,1,3,1,1,4,3,3,1,4,3,2,4,4,2,2,2,2
5292,1,1,2,1,1,1,1,2,2,4,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1
5298,2,1,3,2,3,2,3,2,2,3,2,2,3,2,1,2,3,3,2,2,1,3,1,2,3,2,2,1,1
5308,2,1,2,2,1,1,2,2,3,2,2,1,1,2,1,1,1,2,1,2,1,2,3,2,2,1,1,2,2
5312,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,2,2,1
5314,1,1,3,1,1,1,1,1,1,1,1,3,1,1,2,1,1,3,2,1,1,1,3,3,2,1,1,2,3
5315,1,1,1,2,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,1,1,2,2,2,2,1,2,2,2
5316,2,2,1,2,2,1,2,1,3,2,1,2,2,3,1,1,2,1,2,1,2,1,1,2,2,1,2,1,2
5317,1,1,3,2,3,1,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,1,2,1,3,3,2,3,2
5325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,2,1,2,1
5326,4,1,3,2,3,2,4,3,4,3,2,4,2,2,1,2,3,3,3,3,1,3,1,1,3,1,1,1,1
5331,1,2,2,2,1,2,3,2,2,2,1,1,3,2,3,2,1,2,1,1,1,1,1,1,1,2,1,2,1
5341,2,1,2,2,4,2,4,3,3,2,2,3,2,2,2,2,2,2,1,2,1,3,1,2,3,1,2,1,1
5342,2,3,3,2,1,2,1,2,3,3,3,2,2,3,3,2,2,1,2,3,3,1,1,3,2,4,2,2,3
5349,3,1,3,2,1,4,1,1,2,1,4,1,4,3,3,1,1,2,2,1,1,3,3,3,2,3,3,3,3
5358,1,2,2,1,2,2,1,1,2,1,2,2,2,1,4,1,3,2,2,2,1,4,1,2,1,2,1,1,1
5366,2,1,1,3,3,2,2,2,4,2,1,3,2,3,1,2,2,2,2,2,1,2,2,3,2,3,2,2,1
5375,1,1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,1,1,3,2,2,1,1
5392,1,1,3,2,1,2,2,2,2,2,2,1,2,2,3,1,2,2,1,2,1,2,2,2,3,1,1,2,2
5400,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1
5406,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1
5410,2,1,1,1,3,1,2,3,2,2,1,2,1,1,1,1,2,3,1,2,1,2,1,1,2,1,1,2,1
5411,2,1,1,2,2,2,3,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5420,2,1,2,2,3,2,3,2,3,3,2,2,2,2,1,2,3,3,2,3,1,2,1,1,2,1,3,1,2
5430,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,3,2,1,1
5438,3,1,3,3,3,3,3,3,3,3,2,2,2,2,2,3,4,3,2,1,2,2,1,2,2,1,2,3,2
5439,2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,3,2,3,3,3,2,3,3,3
5440,3,1,3,4,3,2,3,4,3,3,2,3,3,3,1,2,2,3,3,2,1,3,1,2,3,2,2,3,3
5446,3,1,1,1,1,2,3,1,2,1,3,1,3,2,2,1,2,3,1,2,2,1,2,2,1,2,2,2,1
5450,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
5452,2,1,4,2,2,2,1,3,3,2,2,1,2,4,1,2,2,1,2,2,1,1,4,3,2,2,2,3,3
5470,2,2,3,3,3,2,2,2,1,3,3,2,3,3,3,3,2,3,2,2,1,2,3,2,3,2,2,2,3
5474,1,2,3,3,2,2,2,1,1,2,2,2,2,4,4,3,2,3,3,1,1,1,3,4,4,2,4,4,3
5476,2,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5478,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5492,1,2,2,2,2,2,2,3,3,2,2,2,1,2,2,1,2,2,2,3,2,2,3,2,2,2,2,1,2
5493,1,2,4,1,2,1,4,1,4,1,3,4,1,3,4,2,1,2,4,1,2,1,4,4,4,1,2,4,4
5494,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,3,2,2
5498,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1
5515,1,1,2,2,2,2,2,2,3,2,2,1,2,4,4,2,3,3,2,1,2,2,2,3,2,1,1,2,4
5518,3,1,2,3,3,2,4,4,4,3,1,4,3,2,2,2,3,3,2,4,2,2,1,3,3,1,2,2,2
5524,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1
5528,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,2,2,1,3,2,2,1,2
5539,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2
5546,3,1,2,2,2,1,3,3,2,1,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1
5552,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2
5557,2,1,2,3,2,2,3,3,1,3,2,1,4,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2
5559,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,3,2
5560,2,2,2,2,3,2,2,2,2,2,3,4,2,3,3,3,3,2,3,3,2,3,3,2,2,3,2,2,2
5565,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5573,2,1,1,3,3,1,4,3,2,2,2,2,3,2,2,1,3,2,2,2,1,2,2,2,2,1,1,2,1
5579,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5592,2,2,2,3,3,2,2,2,3,3,2,3,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2
5595,2,1,3,3,2,3,3,3,3,4,4,4,3,2,1,3,3,1,4,4,2,3,1,3,4,3,3,4,3
5604,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
5613,1,2,4,3,4,3,2,2,4,4,2,3,4,4,3,3,3,4,4,1,3,2,4,4,4,1,2,4,3
5621,1,1,4,1,1,1,4,1,1,1,4,1,1,4,1,1,1,1,4,1,4,1,4,4,4,1,4,4,4
5631,3,3,1,2,2,3,2,2,3,2,2,2,2,2,2,2,1,2,3,1,3,2,1,2,2,1,2,1,1
5636,1,1,1,2,1,3,1,1,2,1,3,2,3,3,1,1,2,2,1,1,1,2,2,1,2,2,1,3,1
5637,3,2,2,1,3,2,1,2,3,2,1,3,2,2,2,3,1,1,3,2,3,3,3,2,1,2,2,2,3
5654,1,2,3,3,3,4,3,4,3,3,4,2,3,3,3,2,3,2,3,3,1,3,3,2,2,4,3,2,3
5672,1,2,1,2,1,2,2,2,2,3,2,1,2,1,2,2,2,3,1,2,2,2,2,2,2,2,1,2,2
5702,2,2,2,3,2,2,2,1,3,2,2,2,2,2,2,1,2,3,3,3,1,3,2,2,3,2,2,3,2
5706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5715,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1
5747,1,3,3,2,2,1,1,1,2,1,2,2,1,3,2,2,2,1,2,1,2,3,2,2,3,1,2,3,2
5750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5758,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5765,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
5771,3,1,3,3,3,2,3,3,3,4,3,3,3,2,2,2,3,3,2,3,1,3,2,3,3,2,2,2,2
5773,2,1,2,2,3,3,2,2,3,2,2,2,3,2,3,2,2,2,1,2,2,2,4,2,2,1,3,3,4
5776,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,1,3,2,3,1
5786,2,1,3,3,2,2,3,3,2,3,3,2,3,3,2,2,2,2,2,3,1,3,1,3,3,2,2,2,3
5792,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5794,2,1,2,3,3,2,2,2,3,2,1,3,2,2,1,2,1,1,1,3,1,3,1,1,2,1,2,2,2
5795,4,1,4,3,3,2,4,4,4,3,1,4,3,1,1,4,2,4,4,4,1,1,1,3,4,1,1,3,3
5803,2,1,1,2,1,1,1,2,2,3,2,1,2,2,3,2,2,2,2,2,2,2,3,1,2,2,1,2,2
5806,1,2,3,2,2,2,1,2,1,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5813,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
5816,2,2,3,1,3,2,3,2,2,2,1,2,2,2,1,2,3,3,2,3,2,1,3,2,3,1,2,2,2
5824,2,2,2,3,2,3,2,1,2,2,3,2,2,1,3,3,3,2,2,1,1,2,4,2,1,2,3,2,1
5825,2,2,4,3,2,2,4,3,4,3,3,4,2,4,4,4,3,4,3,4,2,4,4,4,4,2,3,4,4
5828,1,2,1,2,3,2,4,4,3,2,3,3,2,2,2,1,2,3,1,2,1,2,1,2,1,1,1,1,2
5859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5864,2,2,2,1,1,1,2,2,2,2,3,1,1,4,2,1,2,2,2,2,3,2,1,1,2,2,2,3,2
5882,3,2,2,2,2,2,3,2,3,2,2,2,2,1,1,1,2,1,3,2,2,3,1,1,1,2,2,1,2
5888,3,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,3,3,3,4,3,3,4,4,4
5892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5909,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1
5911,3,1,1,3,3,1,3,3,3,3,1,2,3,4,1,2,2,4,1,3,1,3,1,1,2,1,1,1,1
5913,1,3,2,2,3,1,3,2,2,3,2,1,2,1,2,2,1,2,2,3,3,2,1,2,2,3,1,1,2
5922,1,1,4,2,1,1,1,1,1,2,2,4,3,4,2,2,1,2,4,1,1,1,2,3,3,1,4,3,3
5934,1,2,2,2,2,2,2,2,1,3,1,2,1,2,3,2,2,1,1,1,2,2,1,1,1,2,1,1,2
